NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,LONGITUD,LATITUD,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
1,OPD BLP,ZI,LAS TORRES,TALA,103.683283,20.654722,DESCONOCIDA,24/01/2019,0,21.3,0,0,0,0,0,21.3,15
2,OPD BLP,ZI,LA TIZNADA,EL ARENAL,103.622444,20.721444,DESCONOCIDA,24/01/2019,0,1,0,0,0,0,0,1,12
3,OPD BLP,ZI,EL MIRADOR,TALA,103.68,20.649222,DESCONOCIDA,25/01/2019,0,18.3,0,0,0,0,0,18.3,9
4,OPD BLP,ZI,LOS TAMALES,ZAPOPAN,103.512528,20.726306,QUEMA DE BASURA,26/01/2019,0.05,0,0,0,0,0,0,0.05,6
5,OPD BLP,ZP,NENA ARRIOLA,ZAPOPAN,103.556667,20.609222,CORTO ELECTRICO,26/01/2019,0,0.01,0,0,0,0,0,0.01,5
6,OPD BLP,ZI,PINAR DE LA VENTA,ZAPOPAN,103.627472,20.719722,DESCONOCIDA,26/01/2019,1,1,0,0,0,0,0,2,48
7,OPD BLP,ZI,LOMAS DE LA PRIMAVERA,ZAPOPAN,103.495278,20.638889,QUEMA DE BASURA,27/01/2019,0,0.03,0,0,0,0,0,0.03,8
8,OPD BLP,ZI,LA LIMONERA,EL ARENAL,103.623444,20.718389,DESCONOCIDA,30/01/2019,0,0.94,0,0,0,0,0,0.94,10
9,OPD BLP,ZI,LOS CERRITOS,TALA,103.690722,20.657028,DESCONOCIDA,30/01/2019,0,0.5,0,0,0,0,0,0.5,14
10,OPD BLP,ZI,CORRAL FALSO,TALA,103.695278,20.672222,QUEMA DE BASURA,01/02/2019,0,0.75,0,0,0,0,0,0.75,22
11,OPD BLP,ZI,VILLAS PANAMERICANAS,ZAPOPAN,103.495278,20.705556,DESCONOCIDA,01/02/2019,0,7.11,0,0,0,0,0,7.11,29
12,OPD BLP,ZI,CERRO DEL 18,ZAPOPAN,103.057306,20.724278,DESCONOCIDA,03/02/2019,0,0.86,0,0,0,0,0,0.86,35
13,OPD BLP,ZP,CERRO PELON,ZAPOPAN,103.485083,20.646389,INTENCIONAL,04/02/2019,1,0.49,0,0,0,0,0,1.49,37
14,OPD BLP,ZI,LAS TINAJITAS,EL ARENAL,103.679167,20.697722,VANDALISMO ,04/02/2019,0,2.9,0,0,0,0,0,2.9,28
15,OPD BLP,ZI,LA HIEDRA,EL ARENAL,103.653944,20.692056,QUEMA DE BASURA,05/02/2019,0,1.36,0,0,0,0,0,1.36,8
16,OPD BLP,ZP,CHATO ROJAS,ZAPOPAN,103.545278,20.705556,REACTIVACIÓN,07/02/2019,0.03,0,0,0,0,0,0,0.03,5
17,OPD BLP,ZI,CERRO DEL 18,ZAPOPAN,103.528611,20.722222,DESCONOCIDA,11/02/2019,0.27,0,0,0,0,0,0,0.27,23
18,OPD BLP,ZP,EL CULEBREADO,ZAPOPAN,103.552611,20.627222,VANDALISMO,12/02/2019,0.48,0,0,0,0,0,0,0.48,44
19,OPD BLP,ZI,HACIENDAS DE LA VENTA,ZAPOPAN,103.561944,20.722222,DESCONOCIDA,13/02/2019,0,2.8,0,0,0,0,0,2.8,44
20,OPD BLP,ZI,CERRO DE 18,ZAPOPAN,103.528611,20.722222,QUEMA DE BASURA,14/02/2019,0,0.09,0,0,0,0,0,0.09,10
21,OPD BLP,ZI,CERRO DEL 18,ZAPOPAN,103.528611,20.722222,QUEMA DE BASURA,14/02/2019,0,0.06,0,0,0,0,0,0.06,8
22,OPD BLP,ZI,CHORROS DE TALA,TALA,103.711944,20.688889,INTENCIONAL,15/02/2019,0,3.24,0,0,0,0,0,3.23,15
23,OPD BLP,ZI,LAS MORAS,TLAJOMULCO,103.511944,20.555556,DESCONOCIDA,17/02/2019,0,5,0.41,0,0,0,0,5.41,19
24,OPD BLP,ZP,ARROYO LAS ANIMAS,TALA,103.656806,20.655556,FOGATA,17/02/2019,0.3,0,0,0,0,0,0,0.3,21
25,OPD BLP,ZI,LAS MORAS,TLAJOMULCO,103.511944,20.555556,REACTIVACIÓN,17/02/2019,0,0.7,0,0,0,0,0,0.7,17
26,OPD BLP,ZP,CERRO COLLI,ZAPOPAN,103.4695,20.649778,VANDALISMO,17/02/2019,0,1.5,0,0,0,0,0,1.5,53
27,OPD BLP,ZP,FLORESTA DEL COLLI,ZAPOPAN,103.478611,20.638889,QUEMA DE BASURA,20/02/2019,3,0,0,0,0,0,0,3,35
28,OPD BLP,ZP,LOS OCOTES,TLAJOMULCO,103.509194,20.574778,REACTIVACIÓN,21/02/2019,6.1,0,0,0,0,0,0,6.1,57
29,OPD BLP,ZI,LAS PALMITAS,TALA,103.6655,20.704444,QUEMA AGRICOLA,26/02/2019,0,1.14,0,0,0,0,0,1.44,31
30,OPD BLP,ZI,LA MARTINA,TALA,103.695278,20.638889,QUEMA AGRICOLA,26/02/2019,0,20,0,0,0,0,0,20,40
31,OPD BLP,ZP,LOS OCOTES,TLAJOMULCO,103.530889,20.5565,DESCONOCIDA,27/02/2019,4.96,0,0,0,0,0,0,4.96,64
32,OPD BLP,ZI,EL ROBLE,EL ARENAL,103.627056,20.703194,QUEMA DE BASURA,28/02/2019,0.03,0.02,0,0,0,0,0,0.05,31
33,OPD BLP,ZI,VISTA HERMOSA,TALA,103.711944,20.688889,QUEMA AGRICOLA,28/02/2019,0,1.4,0,0,0,0,0,1.4,12
34,OPD BLP,ZP,CERRO EL COLLI,ZAPOPAN,103.462667,20.655556,QUEMA DE BASURA,28/02/2019,0,3.2,0,0,0,0,0,3.2,27
35,OPD BLP,ZP,CERRO EL COLLI,ZAPOPAN,103.461889,20.651167,QUEMA DE BASURA,01/03/2019,0,0.6,0,0,0,0,0,0.6,15
36,OPD BLP,ZI,CORRAL FALSO,TALA,103.711944,20.672222,DESCONOCIDA,02/03/2019,0,1.1,0,0,0,0,0,1.1,12
37,OPD BLP,ZP,CERRO EL COLLI,ZAPOPAN,103.478611,20.655556,QUEMA DE BASURA,05/03/2019,0,8,0,0,0,0,0,8,16
38,OPD BLP,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,103.528611,20.622222,INTENCIONAL,06/03/2019,24.7,0,0,0,0,0,0,24.7,114
39,OPD BLP,ZI,LA TIZNADA,EL ARENAL,103.645278,20.722222,QUEMA AGRICOLA,07/03/2019,0,1,0,0,0,0,0,1,13
40,OPD BLP,ZI,SAN FRANCISCO 1,EL ARENAL,103.678611,20.705556,DESCONOCIDA,08/03/2019,0,5.5,0,0,0,0,0,5.5,10
41,OPD BLP,ZI,CHORROS DE TALA,TALA,103.711944,20.688889,VANDALISMO,08/03/2019,33.96,0,0,0,0,0,0,33.96,15
42,OPD BLP,ZP,CERRO DEL CHAPULIN,ZAPOPAN,103.495278,20.688889,INTENCIONAL,08/03/2019,0.9,0,0,0,0,0,0,0.9,8
43,OPD BLP,ZI,LA TIZNADA,EL ARENAL,103.645278,20.722222,QUEMA AGRICOLA,09/03/2019,0.8,0,0,0,0,0,0,0.8,8
44,OPD BLP,ZP,CERRO DE LA VIRGEN,ZAPOPAN,103.511944,20.705556,INTENCIONAL,10/03/2019,0.32,0,0,0,0,0,0,0.32,29
45,OPD BLP,ZP,CERRO DEL 18,ZAPOPAN,103.528611,20.722222,INTENCIONAL,11/03/2019,6,0,0,0,0,0,0,6,44
46,OPD BLP,ZI,VILLA FELICIDAD,TALA,103.711944,20.655556,FOGATA,11/03/2019,0,0.47,0,0,0,0,0,0.47,9
47,OPD BLP,ZP,LA CEBADA,ZAPOPAN,103.545278,20.605556,DESCONOCIDA,11/03/2019,0.08,0.3,0,0,0,0,0,0.38,45
48,OPD BLP,ZI,EL REVENTON,ZAPOPAN,103.595278,20.722222,DESCONOCIDA,12/03/2019,0,10.12,0,0,0,0,0,10.12,61
49,OPD BLP,ZI,HACIENDA DE LA VENTA,ZAPOPAN,103.561944,20.722222,DESCONOCIDA,13/03/2019,0,0.22,0,0,0,0,0,0.22,11
50,OPD BLP,ZI,MESA DE LOS ARADOS,ZAPOPAN,103.595278,20.722222,DESCONOCIDA,14/03/2019,0,1,0,0,0,0,0,1,22
51,OPD BLP,ZI,LOS BAÑITOS,TALA,103.695278,20.655556,FOGATA,15/03/2019,0,2.87,0,0,0,0,0,2.87,11
52,OPD BLP,ZI,CHORROS DE TALA,TALA,103.711944,20.688889,DESCONOCIDA,17/03/2019,0,44.2,0,0,0,0,0,44.2,21
53,OPD BLP,ZP,LA HIEDRA,EL ARENAL,103.661944,20.688889,DESCONOCIDA,17/03/2019,1.97,0,0,0,0,0,0,1.97,27
54,OPD BLP,ZI,LOS CHORRITOS,TALA,103.711944,20.688889,VANDALISMO,18/03/2019,0,1.31,0,0,0,0,0,1.31,9
55,OPD BLP,ZI,SAN  FRANCISCO 1,EL ARENAL,103.678611,20.705556,QUEMA AGRICOLA,19/03/2019,0,0.08,0,0,0,0,0,0.08,6
56,OPD BLP,ZI,EL TANQUE,ZAPOPAN,103.578611,20.722222,DESCONOCIDA,20/03/2019,0.65,0,0,0,0,0,0,0.65,38
57,OPD BLP,ZP,LA CEBADA,ZAPOPAN,103.545278,20.605556,DESCONOCIDA,20/03/2019,0,1.5,0,0,0,0,0,1.5,16
58,OPD BLP,ZI,TIZATE,ZAPOPAN,103.495278,20.638889,QUEMA DE BASURA,20/03/2019,0,0.3,0,0,0,0,0,0.3,9
59,OPD BLP,ZP,MESA DEL FRIJOL,ZAPOPAN,103.561944,20.705556,QUEMA AGRICOLA,21/03/2019,0,1.59,0,0,0,0,0,1.22,21
60,OPD BLP,ZI,LA TOMA,TALA,103.711944,20.655556,INTENCIONAL,21/03/2019,0,1.22,0,0,0,0,0,1.22,9
