"objectid","refugio","estado","longitud","latitud","capacidad"
"41","CASA DE LA CULTURA","JALISCO","-103.72916667","22.38916667","100.00000000"
"42","DELEGACIÃ“N LA MEZA","JALISCO","-103.99472222","22.28083333","20.00000000"
"43","DELEGACIÃ“N LAS MINILLAS","JALISCO","-103.63638889","22.49527778","30.00000000"
"44","AUDITORIO PARROQUIAL","JALISCO","-103.81138889","21.68416667","60.00000000"
"45","CASINO SAN MARTÃN","JALISCO","-103.81611111","21.68305556","150.00000000"
"46","JARDÃN DE NIÃ‘OS","JALISCO","-103.81250000","21.68138889","90.00000000"
"47","COLEGIO VASCO DE QUIROGA","JALISCO","-103.81250000","21.67944444","80.00000000"
"48","ESC. FRANCISCO VILLA","JALISCO","-103.81611111","21.68222222","60.00000000"
"49","ESC. SEC. TEC. No. 159","JALISCO","-103.81416667","21.68027778","85.00000000"
"50","ESC. HIDALGO #157","JALISCO","-103.81333333","21.68472222","97.00000000"
"51","BODEGA","JALISCO","-103.81083333","21.68083333","100.00000000"
"52","AUDITORIO MUNICIPAL","JALISCO","-103.22527778","22.17277778","250.00000000"
"53","CENTRO COMUNITARIO DIF","JALISCO","-103.22527778","22.17250000","100.00000000"
"54","CASA DE LA IGLESIA","JALISCO","-103.22472222","22.17388889","300.00000000"
"55","PRIMARIA 21 DE MARZO","JALISCO","-103.22611111","22.21388889","300.00000000"
"56","PRIMARIA [HUACASCO]","JALISCO","-103.09833333","22.21250000","250.00000000"
"57","PRIMARIA","JALISCO","-103.13333333","22.19305556","60.00000000"
"58","PRIMARIA [LAS LIEBRES]","JALISCO","-103.23000000","22.26305556","30.00000000"
"59","PRIMARIA [EL FRAILE]","JALISCO","-103.23222222","22.26694444","35.00000000"
"60","Esc. primaria Belisario Dominguez","JALISCO","-103.22194444","22.17750000","35.00000000"
"61","SalÃ³n ejidal Hidalgo","JALISCO","-103.09916667","22.21166667","35.00000000"
"62","Bodega Ramos","JALISCO","-103.22638889","22.17833333","35.00000000"
"63","Bodega Ganadera","JALISCO","-103.22527778","22.17027778","35.00000000"
"64","C. COMUNITARIO DIF","JALISCO","-103.44194444","21.92972222","90.00000000"
"65","SEMINARIO (CASA PASTORAL)","JALISCO","-103.44388889","21.92805556","90.00000000"
"66","AUDITORIO MUNICIPAL","JALISCO","-103.44444444","21.92777778","90.00000000"
"67","SEMINARIO","JALISCO","-103.44361111","21.92777778","220.00000000"
"68","COLEGIO [SANTUARIO]","JALISCO","-103.52638889","21.97333333","100.00000000"
"69","CASA DEL PEREGRINO","JALISCO","-103.52583333","21.97444444","100.00000000"
"70","ESC. BENITO JUÃREZ","JALISCO","-103.52472222","21.97611111","150.00000000"
"71","SALÃ“N DE USOS MÃšLTIPLES","JALISCO","-103.52416667","21.97527778","100.00000000"
