Año,Salario mínimo nominal,Índice de Precios Promedio julio 2018-100,Salario mínimo real
1877,0.00,0.000345912968405,64.28
1878,0.00,,64.28
1879,0.00,,
1880,0.00,,
1881,0.00,,
1882,0.00,,
1883,0.00,,
1884,0.00,,
1885,0.00,,
1886,0.00,0.000392236102456,60.84
1887,0.00,0.000346416480732,69.41
1888,0.00,0.000407844984582,60.15
1889,0.00,0.000440573285814,59.78
1890,0.00,0.000429496014628,61.76
1891,0.00,0.000426978452995,67.28
1892,0.00,0.000491931543132,62.35
1893,0.00,0.000532212529264,61.05
1894,0.00,0.000469273488433,69.64
1895,0.00,0.000468769976106,70.13
1896,0.00,0.000514589597831,64.27
1897,0.00,0.000517610671791,64.28
1898,0.00,0.000445608409081,75.22
1899,0.00,0.000430503039281,78.43
1900,0.00,0.000503512326645,67.47
1901,0.00,0.00061831313712,57.37
1902,0.00,0.000608242890587,61.00
1903,0.00,0.000632914994593,61.28
1904,0.00,0.000537751164857,73.98
1905,0.00,0.00061076045222,70.25
1906,0.00,0.000684273251911,60.99
1907,0.00,0.000674203005378,63.53
1908,0.00,0.000664132758845,66.47
1909,0.00,0.000723043701062,63.38
1910,0.00,0.000834319925251,57.07
1911,0.00,0.000823242654065,60.11
1912,,,
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,0.00225162042727,
1919,,0.00180244074864,
1920,,0.001889701769011,
1921,,0.001725193287984,
1922,,0.001447674633035,
1923,,0.001550671247243,
1924,,0.001486298363363,
1925,,0.001559254298427,
1926,,0.001530644127814,
1927,,0.001494881414547,
1928,,0.001434800056259,
1929,,0.001430508530667,
1930,,0.001433369547728,
1931,,0.0012874576776,
1932,,0.001181600046331,
1933,,0.001263139032579,
1934,0.00,0.001304623779968,97.69
1935,0.00,0.001296040728784,98.34
1936,0.00,0.001382443444037,103.33
1937,0.00,0.001641651589793,87.01
1938,0.00,0.001728054305046,95.32
1939,0.00,0.001728054305046,95.32
1940,0.00,0.001728054305046,98.90
1941,0.00,0.001857658377924,92.00
1942,0.00,0.002030463808429,85.57
1943,0.00,0.002505678742316,69.34
1944,0.00,0.003110497749082,71.77
1945,0.00,0.003369705894839,66.24
1946,0.00,0.003888122186353,71.98
1947,0.00,0.004104128974483,68.19
1948,0.00,0.004320135762614,79.24
1949,0.00,0.004579343908371,74.75
1950,0.00,0.005227364272763,73.45
1951,0.00,0.006480203643921,59.25
1952,0.01,0.006739411789678,77.27
1953,0.01,0.0066098077168,78.79
1954,0.01,0.007128224008313,98.38
1955,0.01,0.008165056591341,85.88
1956,0.01,0.008597070167602,93.76
1957,0.01,0.009115486459116,88.42
1958,0.01,0.009417895962499,98.84
1959,0.01,0.009417895962499,98.84
1960,0.01,0.009936312254012,106.68
1961,0.01,0.009936312254012,106.68
1962,0.01,0.010065916326891,125.48
1963,0.01,0.010281923115022,122.84
1964,0.02,0.010800339406535,164.72
1965,0.02,0.010886742121788,163.41
1966,0.02,0.011102748909918,188.24
1967,0.02,0.011189151625171,186.79
1968,0.02,0.011405158413301,211.75
1969,0.02,0.011793970631937,204.77
1970,0.03,0.012384069792668,225.53
1971,0.03,0.012384069792668,225.53
1972,0.03,0.013061357175098,254.41
1973,0.04,0.013707069969775,285.98
1974,0.06,0.01536315057533,359.56
1975,0.06,0.01901712618985,290.48
1976,0.08,0.021859145597755,378.51
1977,0.09,0.025318294116734,360.21
1978,0.10,0.032676835141397,316.71
1979,0.12,0.038381326768123,312.08
1980,0.14,0.057317,245.46
1981,0.18,0.073328,249.63
1982,0.32,0.116528,273.14
1983,0.46,0.235242,195.12
1984,0.72,0.389205,184.74
1985,1.11,0.613964,180.41
1986,2.24,1.14341,196.23
1987,5.87,2.65073,221.34
1988,7.25,5.67686,127.76
1989,8.31,6.81268,121.92
1990,10.79,8.62837,125.01
1991,12.08,10.5838,114.17
1992,12.08,12.2251,98.85
1993,13.06,13.4172,97.34
1994,13.97,14.3518,97.34
1995,18.43,19.3749,95.12
1996,24.30,26.0356,93.33
1997,24.30,31.4056,77.37
1998,31.91,36.408,87.65
1999,31.91,42.4465,75.18
2000,35.12,46.4754,75.57
2001,37.57,49.4348,76.00
2002,39.74,51.9217,76.54
2003,41.53,54.2826,76.51
2004,43.29,56.8276,76.18
2005,45.24,59.0939,76.56
2006,47.05,61.2387,76.83
2007,48.88,63.6679,76.77
2008,50.84,66.9309,75.96
2009,53.19,70.4765,75.47
2010,57.46,73.406,78.28
2011,59.82,75.9072,78.81
2012,62.33,79.0281,78.87
2013,64.76,82.0362,78.94
2014,67.29,85.333,78.86
2015,70.10,87.6546,79.97
2016,73.04,90.1279,81.04
2017,88.36,95.573,92.45
2018,88.36,100.255,88.14
2019,102.68,103.476,99.23
